date,weekday_name,point_count,distance_to_next_m,speed_kmh,inactive_count,total_distance_km
2008-01-01,Tuesday,3,23265.697474773304,0.4991973395659037,0,23.265697474773305
2008-01-02,Wednesday,33,10831.043001931635,3.8808935988640347,2,10.831043001931635
2008-01-03,Thursday,37,27292.526777290244,7.6165424488492315,0,27.292526777290245
2008-01-04,Friday,31,28811.23851864616,7.337632283958572,1,28.81123851864616
2008-01-07,Monday,37,21050.149246723773,3.7100538453351373,1,21.050149246723773
2008-01-08,Tuesday,34,44001.77389870175,10.59012240873632,2,44.00177389870175
2008-01-09,Wednesday,50,18324.163842890477,7.348633458363023,0,18.324163842890478
2008-01-10,Thursday,56,39648.03315575319,14.140712082253787,2,39.64803315575319
2008-01-11,Friday,38,49194.30603377457,4.308445716701757,1,49.19430603377457
2008-01-14,Monday,15,73958.33020101918,78.00468324559647,0,73.95833020101918
2008-01-15,Tuesday,43,165814.32160346006,18.372125620067443,1,165.81432160346006
2008-01-16,Wednesday,46,29473.51329320341,8.387920925279365,0,29.47351329320341
2008-01-17,Thursday,68,23239.397904381236,6.618711137939004,1,23.239397904381235
2008-01-18,Friday,76,60905.173673459605,11.373905616886228,0,60.90517367345961
2008-01-19,Saturday,11,0.0,0.0,2,0.0
2008-01-20,Sunday,1,7625.255143271578,0.3789731278494882,0,7.625255143271578
2008-01-21,Monday,41,45976.58123079183,6.70907774267344,1,45.97658123079183
2008-01-22,Tuesday,51,70651.70818644328,6.194672551981563,0,70.65170818644329
2008-01-23,Wednesday,45,31453.113297791275,7.016720145299468,0,31.453113297791276
2008-01-24,Thursday,35,28722.644194883338,7.020695385139482,2,28.722644194883337
2008-01-25,Friday,21,27745.604230381432,3.718286683773206,1,27.74560423038143
2008-01-26,Saturday,5,51368.30675629672,37.0287606862357,0,51.36830675629672
2008-01-28,Monday,34,16529.19629355088,7.271190677089561,1,16.52919629355088
2008-01-29,Tuesday,43,40080.50248234322,8.224518878574687,1,40.08050248234322
2008-02-14,Thursday,2,0.0,0.0,1,0.0
2008-02-15,Friday,10,109727.24774960973,13.936461097172387,2,109.72724774960973
2008-02-16,Saturday,1,62116.627371414485,1.5524521048373898,0,62.11662737141449
2008-02-18,Monday,44,37203.51697990102,5.192559743772529,0,37.20351697990102
