hour,weekday_name,distance_to_next_m,time_gap_hours
15,Wednesday,0.0,1.0041666666666667
16,Wednesday,0.0,16.063333333333333
13,Friday,0.0,1.511111111111111
15,Monday,0.0,1.126111111111111
11,Tuesday,0.0,1.4769444444444444
15,Tuesday,0.0,1.095
13,Thursday,0.0,1.0691666666666666
16,Thursday,0.0,15.62138888888889
11,Friday,0.0,1.4002777777777777
14,Tuesday,0.0,1.498888888888889
15,Thursday,0.0,1.2547222222222223
13,Saturday,0.0,4.448611111111111
17,Saturday,0.0,17.594166666666666
13,Monday,0.0,1.4552777777777777
8,Thursday,0.0,1.1283333333333334
14,Thursday,0.0,1.5475
10,Friday,0.0,1.1594444444444445
9,Monday,0.0,1.5286111111111111
12,Tuesday,0.0,1.1336111111111111
21,Thursday,0.0,9.678055555555556
14,Friday,0.0,5.875277777777778
19,Friday,0.0,2.8583333333333334
9,Wednesday,0.0,1.1166666666666667
16,Thursday,0.0,15.259444444444444
8,Friday,0.0,1.0608333333333333
13,Monday,0.0,1.5419444444444443
8,Tuesday,0.0,1.3977777777777778
9,Tuesday,0.0,1.5922222222222222
11,Thursday,0.0,1.4827777777777778
12,Monday,0.0,1.4475
9,Tuesday,0.0,3.872777777777778
17,Tuesday,0.0,14.586944444444445
12,Wednesday,0.0,3.4811111111111113
12,Friday,0.0,1.2805555555555554
12,Saturday,0.0,1.5002777777777778
14,Saturday,0.0,1.2797222222222222
15,Saturday,0.0,2.8033333333333332
12,Monday,0.0,1.19
9,Tuesday,0.0,1.3386111111111112
15,Tuesday,0.0,1.6569444444444446
16,Wednesday,0.0,15.335833333333333
13,Friday,0.0,1.8486111111111112
14,Monday,0.0,1.5583333333333333
15,Monday,0.0,1.4561111111111111
12,Tuesday,0.0,1.4327777777777777
9,Wednesday,0.0,1.4208333333333334
12,Wednesday,0.0,1.3191666666666666
14,Thursday,0.0,1.24
11,Saturday,0.0,2.765833333333333
10,Tuesday,0.0,1.2172222222222222
10,Wednesday,0.0,1.1097222222222223
14,Friday,0.0,1.3333333333333333
14,Saturday,0.0,6.416944444444445
21,Saturday,0.0,14.201666666666666
12,Thursday,0.0,1.0283333333333333
9,Saturday,0.0,23.515555555555554
9,Sunday,0.0,2.935277777777778
12,Monday,0.0,1.0633333333333332
10,Tuesday,0.0,1.3522222222222222
10,Wednesday,0.0,1.4133333333333333
15,Monday,0.0,16.516666666666666
13,Tuesday,0.0,1.1108333333333333
18,Tuesday,0.0,1.7113888888888888
16,Wednesday,0.0,15.69138888888889
12,Thursday,0.0,1.4433333333333334
17,Wednesday,0.0,3.792222222222222
9,Saturday,0.0,1.8422222222222222
12,Saturday,0.0,1.74
15,Saturday,0.0,1.2319444444444445
17,Sunday,0.0,3.368333333333333
