month,month_name,point_count,distance_to_next_m,speed_kmh,total_distance_km,days_with_data,avg_points_per_day
1,January,1804,7618364.046888452,18.305789371142613,7618.364046888452,,0.0
2,February,3190,11814309.09916295,17.175242157145092,11814.309099162949,,0.0
3,March,3524,16234763.706253357,14.54842594218441,16234.763706253358,,0.0
4,April,4314,10929039.105870899,11.655892977206504,10929.0391058709,,0.0
5,May,3476,14971819.636881584,14.760440975645668,14971.819636881584,,0.0
6,June,4534,12779795.191785697,11.432040395796042,12779.795191785697,,0.0
7,July,4797,18649163.36282978,17.859283200636767,18649.16336282978,,0.0
8,August,2793,12659962.499172773,20.033635808646352,12659.962499172772,,0.0
9,September,3941,12497657.643973239,16.9641753077658,12497.657643973238,,0.0
10,October,2758,10786126.91571868,12.874933486067716,10786.12691571868,,0.0
11,November,3596,14328774.633680468,15.211271296957635,14328.774633680468,,0.0
12,December,4182,13425738.556659926,14.982858665407772,13425.738556659926,,0.0
